lead time,crps,mae_median,mae_mean,bias,bias_median,relative_bias,Brier95,Brier99,Brier995
0,1.098859,1.1686901,2.311234,0.27230707,-1.0902305,0.31725293,0.041027404,0.00831918,0.0036155535
1,1.1374437,1.227778,2.4120016,0.2843674,-1.1525998,0.32704237,0.04202948,0.008344309,0.003543142
2,0.9926535,1.0815471,2.2907162,0.46398547,-1.0054653,0.34383807,0.035594095,0.0046331184,0.0017568924
3,0.9214914,0.9921026,2.1809008,0.51300687,-0.9150458,0.34441108,0.03218157,0.0048705074,0.0017811698
4,0.9416963,1.000735,2.212115,0.52572393,-0.9108947,0.35638407,0.031816356,0.004985934,0.0022005679
5,1.0361761,1.0860326,2.3430264,0.48399186,-0.9883264,0.37033483,0.033123188,0.0066991565,0.0033003415
6,1.0509574,1.0964575,2.3749208,0.48984694,-1.000041,0.37382838,0.035656206,0.0065350276,0.00342659
7,1.0702242,1.1229028,2.3429115,0.39619693,-1.0357335,0.34679362,0.038793016,0.0067557525,0.003383834
8,1.0040756,1.0749085,2.2122703,0.36277062,-0.9954112,0.3215477,0.039425712,0.005652952,0.0025062002
9,1.090739,1.1849104,2.2866075,0.23372672,-1.1103332,0.30551836,0.04198985,0.0071427585,0.0033666026
10,1.137066,1.2281152,2.3293123,0.18680567,-1.1539891,0.3078438,0.04241657,0.007864692,0.0037244381
11,1.0093795,1.0683771,2.1848364,0.3370899,-0.9860892,0.32175234,0.035265014,0.006961267,0.0033698669
12,0.91371495,0.9641018,2.0702288,0.4269757,-0.8749125,0.3296749,0.03141842,0.006126188,0.0027322103
13,0.8351988,0.8805354,1.9793833,0.49893537,-0.7883322,0.32702023,0.029801885,0.0050799474,0.0021583457
14,0.9980876,1.0449744,2.1503084,0.3308115,-0.96582216,0.31506252,0.03826055,0.008552555,0.0036899983
15,1.0545758,1.1172185,2.2380009,0.28619146,-1.046185,0.30854824,0.04002389,0.008094599,0.0035049827
16,1.1153675,1.2018603,2.3551416,0.26396054,-1.1340429,0.3177106,0.040715013,0.008522836,0.0036588488
17,0.94689155,1.0253189,2.217506,0.4877019,-0.94794995,0.34060124,0.033642597,0.00441305,0.0015327717
18,0.8524351,0.9183938,2.110554,0.5879859,-0.836029,0.34914142,0.030143736,0.0040028216,0.0013316171
19,0.8751639,0.9325608,2.1150875,0.5528496,-0.8479576,0.3449263,0.031927943,0.0041948035,0.0012720567
20,0.9965436,1.0487537,2.2763326,0.48403314,-0.9586373,0.35726818,0.034242425,0.0058016353,0.0028466585
21,1.240418,1.2998049,2.5591,0.2752977,-1.2087623,0.3623169,0.04108778,0.010560968,0.0061471877
22,1.3252026,1.3963535,2.639269,0.17110534,-1.308602,0.35151884,0.046194356,0.0119164195,0.007134518
23,1.2065569,1.292839,2.4610398,0.19948523,-1.2128736,0.3254797,0.046127126,0.009474047,0.00496637
24,1.0823467,1.1785377,2.2805512,0.2407373,-1.1062175,0.30648714,0.043549847,0.0066303257,0.0029900947
25,0.9574033,1.0333083,2.130434,0.3601963,-0.958171,0.31146672,0.037194166,0.0053877663,0.0021675732
26,0.9476273,1.0091239,2.110735,0.37752822,-0.9313705,0.31966746,0.034392543,0.0060283314,0.0026466558
27,0.933076,0.9827655,2.09232,0.40851465,-0.89694816,0.32691678,0.032752026,0.006066778,0.002585436
28,0.9622446,1.0145217,2.1150706,0.37412438,-0.9224559,0.32524863,0.034835324,0.006452714,0.0028746377
29,1.007985,1.0525018,2.1536949,0.32201892,-0.9656961,0.31535056,0.038300626,0.008829957,0.003857603
30,1.0535686,1.112148,2.2361333,0.29624495,-1.0335894,0.31213555,0.039771847,0.00840895,0.0037091707
31,1.0951986,1.1855565,2.331612,0.27791956,-1.1156629,0.31534293,0.0393757,0.008305247,0.003444712
32,0.99227905,1.0874425,2.2779522,0.4367029,-1.0153389,0.3374038,0.03432064,0.005073734,0.0018624977
33,1.0371668,1.1413151,2.311203,0.3750009,-1.0685437,0.33759147,0.034638897,0.0061385273,0.002888754
34,1.021016,1.1113961,2.2513702,0.35648596,-1.035685,0.32899037,0.034287225,0.006252458,0.002792027
35,1.0626553,1.1345851,2.3112414,0.35646135,-1.0525532,0.33766717,0.036421195,0.006908571,0.003500718
36,1.2706097,1.3426174,2.5638337,0.19906709,-1.2558932,0.3473937,0.04269048,0.010822619,0.0062616863
37,1.3264288,1.3897222,2.650091,0.1871009,-1.3030126,0.357529,0.045342572,0.012032746,0.0074614645
38,1.212359,1.2745175,2.4881434,0.24731493,-1.1885095,0.34541458,0.044036575,0.010851732,0.00627139
39,1.0559165,1.1403452,2.2699044,0.3012748,-1.06309,0.32021168,0.042254776,0.0071232934,0.0032586074
40,0.9602062,1.0388689,2.140325,0.36010727,-0.96681863,0.3115013,0.03875503,0.0056736763,0.0022983642
41,0.96772575,1.0351573,2.1259441,0.34209254,-0.9615505,0.3117321,0.037180882,0.0056727426,0.0024437027
