lead time,crpsss,crps,mae_mean,mae_median,bias,relative_bias_5,Brier95,Brier99,Brier995,skil_dis
0,-0.23509638,1.346226,1.524296,1.6046116,-0.6182439,0.027746927,0.050099663,0.008540355,0.0037617148,1.227262
1,-0.14941414,1.3438351,1.4117475,1.6379973,-0.5686237,0.038315076,0.048182093,0.009050957,0.004068247,1.2368373
2,-0.15109767,1.5081278,1.600692,1.7942833,-0.86797416,0.01665138,0.053950187,0.012442587,0.006246281,1.419187
3,-0.054979905,1.3817644,1.4436772,1.6620568,-0.74915713,0.02166901,0.04651351,0.01095944,0.0058458736,1.2908894
4,-0.12303369,1.3292716,1.4120724,1.6375718,-0.71739143,0.023456737,0.04704251,0.010507867,0.0052823746,1.2639011
5,-0.042654946,1.3461485,1.4579602,1.6584088,-0.77241844,0.017550085,0.04862531,0.009046981,0.004559424,1.3035914
6,0.09007339,1.5286039,1.6666766,1.856261,-0.9882702,0.014217396,0.05107375,0.013865846,0.007936027,1.5038643
7,-0.008229863,1.7797952,1.9342757,2.1402414,-1.1945195,0.011743067,0.059579838,0.016707784,0.009553183,1.7383915
8,0.09947085,1.4551553,1.5816133,1.8305926,-0.7967241,0.03174101,0.047700368,0.010448196,0.0056893555,1.4161067
9,-0.1921209,1.3865392,1.4630443,1.8138206,-0.59198123,0.052902084,0.046014734,0.007790162,0.003675262,1.3193544
10,-0.28535947,1.506744,1.6011881,1.9539249,-0.717824,0.05200778,0.052792378,0.010731867,0.0048885653,1.4531795
11,-0.28108007,1.6026047,1.6940256,2.0303788,-0.8441054,0.04103166,0.05292501,0.012724888,0.0071191997,1.5308907
12,0.042868935,1.5855166,1.7004378,2.0006306,-0.89284277,0.03187517,0.057127506,0.011153369,0.0051797824,1.5348393
13,0.009060869,1.3575635,1.4207865,1.7716962,-0.6527042,0.0406249,0.049938492,0.008914524,0.0040623494,1.2953125
14,-0.078485824,1.2968402,1.3612643,1.7132983,-0.6134532,0.039237205,0.048506673,0.008189334,0.003827848,1.2408112
15,-0.34115604,1.4115266,1.4693565,1.809006,-0.7507677,0.032721497,0.05119631,0.009854879,0.004782553,1.3439271
16,-0.11609763,1.2790644,1.3207525,1.6501126,-0.64564145,0.030556783,0.046982944,0.009345093,0.004377399,1.2115695
17,-0.051348437,1.3842227,1.4349235,1.7775495,-0.74244034,0.036057815,0.048099473,0.0112453215,0.005913923,1.3267245
18,-0.0053788065,1.4178878,1.4850576,1.7738765,-0.82490337,0.02186503,0.047607165,0.010313786,0.0053896774,1.3578289
19,0.041303527,1.4859632,1.5590699,1.8584907,-0.87210107,0.023229634,0.050562963,0.011358546,0.006252314,1.4263825
20,0.07520993,1.4788268,1.5581524,1.8675839,-0.8617987,0.026899673,0.049668305,0.01093834,0.005814668,1.4281197
21,-0.1962545,1.7218928,1.805606,2.092602,-1.1296835,0.015959114,0.056100495,0.01589076,0.009183108,1.6564196
22,-0.09318007,1.6135149,1.7212063,1.9934435,-1.0117642,0.018637538,0.05384337,0.013346535,0.0076146903,1.5672176
23,-0.2086603,1.6244496,1.7232926,2.0120838,-1.014437,0.01806266,0.0550392,0.011590114,0.006108916,1.5701188
24,-0.54301095,1.5501877,1.624706,1.9545625,-0.90409136,0.030098602,0.05010397,0.012445603,0.0066707553,1.4985595
25,-0.5166839,1.540755,1.6078482,1.9293333,-0.916781,0.027073758,0.04823878,0.012826696,0.0077340095,1.4828191
26,-0.10189814,1.59819,1.6887101,2.0062606,-0.9691687,0.024060635,0.05508559,0.011483189,0.0055097006,1.5459751
27,-0.05290254,1.7387534,1.8402139,2.1416283,-1.1185023,0.019814778,0.059518404,0.014004981,0.0068133026,1.685812
28,-0.17843217,1.628767,1.7313073,2.0229926,-1.0041554,0.020495763,0.05576123,0.013087686,0.0076148096,1.5729059
29,-0.18807262,1.5466591,1.6421183,1.9472096,-0.9087434,0.02530856,0.05773534,0.0110032335,0.004987347,1.4985975
30,-0.16226076,1.2722445,1.3132806,1.6889203,-0.5538089,0.04587252,0.048086394,0.008404714,0.003915524,1.206027
31,-0.20507301,1.3709688,1.4269327,1.782,-0.6888975,0.03860126,0.05067873,0.00948998,0.0044948556,1.3068216
32,-0.14481398,1.5243849,1.610904,1.9092606,-0.90152705,0.028347574,0.051479977,0.012531931,0.006689861,1.4777486
33,-0.04127572,1.5177069,1.589777,1.9252331,-0.85476166,0.032864206,0.05129931,0.013119414,0.0075889463,1.4569603
34,-0.0038452318,1.6481707,1.7104962,2.0703125,-0.96540123,0.032418292,0.056618087,0.015308028,0.008694241,1.5785193
35,0.052801535,1.5508349,1.6023945,1.9292108,-0.9132499,0.02285105,0.052234944,0.012176475,0.0069106715,1.4750817
36,0.04177232,1.682738,1.7431244,2.0687623,-1.0532862,0.019508619,0.057284955,0.014209687,0.008294743,1.6096498
37,-0.072354205,1.7740471,1.8588886,2.1596158,-1.1582832,0.014753794,0.059373632,0.014388475,0.007739481,1.7070663
38,-0.09274842,1.657544,1.7384164,2.0650978,-0.9781806,0.02888962,0.053185545,0.012495081,0.007148423,1.5936394
39,-0.39724818,1.4049377,1.4620733,1.8229679,-0.69320965,0.04093287,0.04469596,0.009231089,0.0047314432,1.3424996
40,-0.49588653,1.3764716,1.4357265,1.7648766,-0.7241439,0.032496344,0.04681164,0.007893129,0.0037183308,1.317254
41,-0.5891435,1.7354795,1.8253859,2.1211195,-1.1056886,0.019360041,0.055909414,0.014030905,0.007557118,1.6716472
